"award","projname","projectnmbr","dateofaward","lgid","program","county"
"170000","Karval FPD Storage Building","08519","20-OCT-17","65366","EIAF","Lincoln"
"0","Highland Park Sanitation District Infrastructure Plan 2013","07188","06-JUN-13","38021","EIAF","Logan"
"30380","Logan Cnty SD RE-1 Caliche Potable Water & WW Prelim. Design","07280","15-OCT-13",NA,"EIAF","Logan"
"430000","Merino Water System Improvements","07303","04-DEC-13","38011","EIAF","Logan"
"45000","Crook FPD Brush Truck","07450","11-JUN-14","38001","EIAF","Logan"
"435000","Iliff Water Line Improvements","08009","26-JAN-16","38007","EIAF","Logan"
"200000","Iliff Wastewater Treatment Facility Improvements","09055","24-FEB-16","38007","EIAF","Logan"
"111425","Fleming FPD Equipment Storage Building","08033","24-AUG-15",NA,"EIAF","Logan"
"750000","Crook Wastewater Treatment Facility Rehabilitation","08182","04-AUG-16","38002","EIAF","Logan"
"25000","Sterling Water and Sewer Rate Study","08376","27-APR-17","38019","EIAF","Logan"
"1000000","Fleming WW Treatment Facility Improvements Project","08739","31-JUL-18","38005","EIAF","Logan"
"26397","Sterling Programs and Equipment 2016","16-014","30-JUN-16","38019","MJ","Logan"
"348000","Yuma County BLF","16-604","30-JUN-16","63012","CDBGED","Logan, Morgan, Phillips, Sedgwick, Washington, Yuma"
"10000","Brush Main Street Mini Grant - FY 2016","08018","07-JUL-15","44001","EIAF","Morgan"
"3300","Brush Main Street 2016 Conference Scholarship","08131","28-JAN-16","44001","EIAF","Morgan"
"10000","Brush Main Street Mini-Grant FY 16-17","08216","23-MAY-16","44001","EIAF","Morgan"
"10000","Brush! Main Street Mini-Grant FY 17-18","08474","26-JUL-17","44001","EIAF","Morgan"
"3000","Brush! Main Street Scholarship FY 17-18","08499","28-JUL-17","44001","EIAF","Morgan"
"7300","Brush Main Street Mini-Grant 2013","07251","07-MAY-13","44001","EIAF","Morgan"
"3000","Brush National Main Street Conference Scholarship","07517","11-APR-14","44001","EIAF","Morgan"
"10000","Brush Main Street Mini Grant 2014","07639","16-SEP-14","44001","EIAF","Morgan"
"3000","Brush National Main Street Conference Scholarship 2015","07775","03-FEB-15","44001","EIAF","Morgan"
"298","Fort Morgan Managing Like A Futurist Workshop Scholarship","07873","13-APR-15","44006","EIAF","Morgan"
"150000","Brush - Smirks","00003","01-APR-14","44001","REDI","Morgan"
"75000","Brush Industrial Park Road","00005","01-APR-14","44001","REDI","Morgan"
"30000","Fort Morgan Retail Analytics Study","00094","12-JUL-16","44006","REDI","Morgan"
"0","Morgan County Administration Bldng & Justice Center Improv.","07050","04-MAR-13","44010","EIAF","Morgan"
"0","Fort Morgan South Sherman Storm Drainage","07118","17-APR-13","44006","EIAF","Morgan"
"104887","Wiggins Water Blending Plan","07186","06-JUN-13","44016","EIAF","Morgan"
"25000","Fort Morgan Storm Water Fee Structure Analysis","07268","16-MAY-13","44006","EIAF","Morgan"
"792500","Brush Storm Water Infrastructure Phase IV","07300","05-DEC-13","44001","EIAF","Morgan"
"682687","Morgan County SW Emergency Services Tower/Radio Upgrade","07301","04-DEC-13","44010","EIAF","Morgan"
"489997","Fort Morgan South Sherman Storm Drainage","07302","04-DEC-13","44006","EIAF","Morgan"
"95000","Fort Morgan Outpost Station Sewer Conversion","07494","11-JUN-14","44006","EIAF","Morgan"
"15000","Brush Sign Regulation Update","07632","27-AUG-14","44001","EIAF","Morgan"
"40000","Fort Morgan Best & Brightest Intern 2015-2016","07659","17-NOV-14","44006","EIAF","Morgan"
"90000","Fort Morgan Comprehensive Plan","07665","24-FEB-15","44006","EIAF","Morgan"
"45000","Wiggins Sewer Lift Station Replacement","09054","24-FEB-16","44016","EIAF","Morgan"
"13000","Fort Morgan Bi-fuel CNG Truck","09135","24-FEB-16","44006","EIAF","Morgan"
"0","Morgan Co. Centennial Mental Health Center","13-510","05-JUN-13","44010","CDBGPF","Morgan"
"3000","Brush Main Street Scholarship FY 16-17","08251","07-SEP-16","44001","EIAF","Morgan"
"200000","Morgan County Ambulance Service New Station","08032","24-AUG-15","44010","EIAF","Morgan"
"42000","Morgan County Best and Brightest Intern 2017-2018","08345","07-DEC-16","44010","EIAF","Morgan"
"780000","City of Brush! Volunteer Fire Department Building Expansion","08412","04-MAY-17","44001","EIAF","Morgan"
"25000","Morgan County Jail & Courthouse Improvements Study","08568","11-AUG-17","44010","EIAF","Morgan"
"46000","Ft. Morgan Best and Brightest Intern 2018-2019","08675","29-DEC-17","44006","EIAF","Morgan"
"800000","City of Fort Morgan New Campus Design","08740","31-JUL-18","44006","EIAF","Morgan"
"62975","Wiggins 3rd Avenue Storm Water Improvements","09132","24-FEB-16","44016","EIAF","Morgan"
"150000","Brush! Agripark Redevelopment Infrastructure","00107","27-JUL-17","44001","REDI","Morgan"
"41355","Phillips County Mobile Aggregate Blending Trailer","07448","11-JUN-14","48007","EIAF","Phillips"
"18500","Haxtun Master Plan","07542","12-MAY-14","48004","EIAF","Phillips"
"103311","Paoli New Town Hall","07566","16-OCT-14","48006","EIAF","Phillips"
"62240","Haxtun FPD Brush Truck","08274","05-DEC-16","64074","EIAF","Phillips"
"550000","Phillips County Fairgrounds Pavilion and Education Center","08413","04-MAY-17","48007","EIAF","Phillips"
"200000","Haxtun Gymnasium Renovation","08706","04-JUN-18","64944","EIAF","Phillips"
"330000","Sedgwick County Communication Center","07120","17-APR-13","58009","EIAF","Sedgwick"
"70000","Julesburg Enhancement Engineering & Design","07449","11-JUN-14","58004","EIAF","Sedgwick"
"0","Washington County Admin. Bldng Window Replacement","07051","04-MAR-13","61008","EIAF","Washington"
"94698","Washington County Administrative Window & Phone Replacement","07425","18-FEB-14","61008","EIAF","Washington"
"2000","Yuma Community Assessment","07441","07-APR-14","63017","EIAF","Yuma"
"149","Wray Managing Like A Futurist Workshop Scholarship","07874","13-APR-15","63010","EIAF","Yuma"
"445000","Yuma County Road Improvement","07115","17-APR-13","63012","EIAF","Yuma"
"245000","Wray Fire Department Bldg. Expansion","07116","17-APR-13","63010","EIAF","Yuma"
"1000000","Wray Wastewater Facility Improvements","07396","08-APR-14","63010","EIAF","Yuma"
"758","Wray Priority Based Budget Conference Tuition 2014","07561","25-JUL-14","63010","EIAF","Yuma"
"438479","Yuma County - County Road R Improvement","07605","10-DEC-14","63012","EIAF","Yuma"
"65000","Yuma Comprehensive Plan","07666","24-FEB-15","63017","EIAF","Yuma"
"1248430","Wray Community HD Hillcrest Nursing Home Upgrades","07835","05-AUG-15","63008","EIAF","Yuma"
"25000","Yuma County Broadband Master Plan","08001","03-JUN-15","63012","EIAF","Yuma"
"1200000","Yuma Main Street Project","07606","10-DEC-14","63017","EIAF","Yuma"
"1733605","Wray Wastewater Facility Improvements Phase II","07834","05-AUG-15","63010","EIAF","Yuma"
"127000","Wray Main Street Enhancement Phase I","08275","05-DEC-16","63010","EIAF","Yuma"
"716125","Wray Broadband Infrastructure","08301","05-DEC-16","63010","EIAF","Yuma"
"345500","Yuma County Beecher Island Road Improvements","08302","05-DEC-16","63012","EIAF","Yuma"
"383683","Yuma County Courthouse HVAC Emergency","08414","15-FEB-17","63012","EIAF","Yuma"
"68860","City of Wray Fiscal Health Initiative - Phase I","08449","08-MAY-17","63010","EIAF","Yuma"
"27552","Summit County 2015-2018 (L15CSBG41)","15-SUMM","01-MAR-15",NA,"CSBG","Clear Creek, Gilpin, Summit"
"27552","Summit County 2015-2018 (L15CSBG41)","15-SUMM","01-MAR-15",NA,"CSBG","Clear Creek, Gilpin, Summit"
"8298","CSBG41-Summit County 2018-2021 (L18CSBG41)","18-SUMM","30-SEP-17",NA,"CSBG","Clear Creek, Gilpin, Summit"
"42299","Eagle County 2015-2018 (L15CSBG15)","15-EAGL","01-MAR-15",NA,"CSBG","Eagle"
"7919","CSBG15-Eagle County 2018-2021 (L18CSBG15)","18-EAGL","30-SEP-17",NA,"CSBG","Eagle"
"298","Red Cliff Managing Like A Futurist Workshop Scholarship","07880","13-APR-15","19026","EIAF","Eagle"
"42428",NA,"12-EAGL","01-MAR-12",NA,"CSBG","Eagle"
"580000","Eagle County BLF","13-589","31-JUL-13","19011","CDBGED","Eagle"
"49913","Minturn Dowd Junction Waterline Extension Engineering","00103","12-JUL-16","19024","REDI","Eagle"
"17325","Minturn Master Drainage Plan","07008","30-AUG-12","19024","EIAF","Eagle"
"5450","Red Cliff Water Ordinance and Preliminary Engineering","07024","23-AUG-12","19026","EIAF","Eagle"
"106739","Minturn Potable Water System Improvements","07065","28-FEB-13","19024","EIAF","Eagle"
"167500","Bellyache Ridge Metro District Well #2 Replacement","07245","06-JUN-13","19005","EIAF","Eagle"
"82500","Gypsum Mosher WTP Filter Control Panel Replacement","07392","18-FEB-14","19020","EIAF","Eagle"
"146595","Red Cliff Water Treatment Plant Upgrades","07393","18-FEB-14","19026","EIAF","Eagle"
"758","Red Cliff Priority Based Budget Conference Tuition 2014","07560","16-JUL-14","19026","EIAF","Eagle"
"3500","Red Cliff Fiscal Health Checkup","07653","28-OCT-14","19026","EIAF","Eagle"
"132100","Red Cliff Communication Towers","07829","08-JUN-15","19026","EIAF","Eagle"
"68400","Eagle County Propane Cutaway Buses","07830","08-JUN-15","19011","EIAF","Eagle"
"332433","Gypsum Shooting Park & Event Center","07857","05-AUG-15","19020","EIAF","Eagle"
"281165","Minturn Downtown Entryway Improvements","07858","05-AUG-15","19024","EIAF","Eagle"
"176008","Basalt Sanitation District Second Plant Digester Engineering","08069","24-AUG-15","64015","EIAF","Eagle"
"65000","Red Cliff Asset Inventory - Fiscal Health Initiative","08145","24-MAR-16","19026","EIAF","Eagle"
"25000","Basalt & Rural FPD West Sopris Creek Substation Design","08380","27-APR-17","64013","EIAF","Eagle"
"500000","Basalt Sanitation Dist. - Second Plant Digester Construction","08415","04-MAY-17","64015","EIAF","Eagle"
"1000000","Minturn Main Street Pedestrian Improvements","08658","27-MAR-18","19024","EIAF","Eagle"
"50000","Town of Eagle Land Use Code Rewrite","08709","04-JUN-18","19009","EIAF","Eagle"
"580000","Eagle County BLF","16-602","03-FEB-16","19011","CDBGED","Eagle, Garfield, Grand, Jackson, Moffat, Pitkin, Rio Blanco, Routt, Summit"
"7000","Granby Main Street Mini Grant - FY 2016","07998","08-JUN-15","25008","EIAF","Grand"
"5000","Granby Main Street Mini-Grant FY 16-17","08220","23-MAY-16","25008","EIAF","Grand"
"5000","Granby Main Street Mini Grant FY 17-18","08459","21-JUL-17","25008","EIAF","Grand"
"3000","Granby Main Street Scholarship FY 17-18","08484","28-JUL-17","25008","EIAF","Grand"
"3000","Grand Lake Community Assessment","07167","14-FEB-13","25014","EIAF","Grand"
"3000","Kremmling Community Assessment","07178","18-MAR-13","25018","EIAF","Grand"
"1500","Granby National Main Street Conference Scholarship","07518","11-APR-14","25008","EIAF","Grand"
"7000","Granby Main Street Mini Grant 2014","07530","23-APR-14","25008","EIAF","Grand"
"1500","Granby National Main Street Conference Scholarship 2015","07772","03-FEB-15","25008","EIAF","Grand"
"70000","Grand Lake Event Center Business Plan","00095","12-JUL-16","25014","REDI","Grand"
"0","Winter Park King's Crossing Quiet Zone","07064","04-MAR-13","25025","EIAF","Grand"
"0","Granby Pedestrian Overpass & Pedestrian/Bicycle Path","07131","17-APR-13","25008","EIAF","Grand"
"0","Winter Park North Portal Enhancement","07132","17-APR-13","25025","EIAF","Grand"
"0","Kremmling Water Line Resurfacing","07154","17-APR-13","25018","EIAF","Grand"
"25000","Kremmling Comp. Plan and Land Use Code Update","07176","06-MAR-13","25018","EIAF","Grand"
"200000","Hot Sulphur Springs Wastewater Treatment Plant Upgrades","07212","06-JUN-13","25015","EIAF","Grand"
"150000","Winter Park King's Crossing Safety Zone","07213","06-JUN-13","25025","EIAF","Grand"
"300000","Kremmling Water Distribution Line Replacement - Final Phase","07238","14-AUG-13","25018","EIAF","Grand"
"200000","Winter Park North Portal Drainage and Safety Improvements","07239","14-AUG-13","25025","EIAF","Grand"
"25000","Three Lakes W&S Dist. Lift Station Renovation Plans","07273","29-MAY-13","25021","EIAF","Grand"
"25000","Granby Union Pacific Overpass Initial Planning","07360","27-NOV-13","25008","EIAF","Grand"
"120000","Kremmling Water Plant Compliance Upgrades","07391","18-FEB-14","25018","EIAF","Grand"
"1000000","Three Lakes W&S District Lift Station Renovations","07421","08-APR-14","25021","EIAF","Grand"
"25000","Columbine Lake WD Waterline Replacement Design","07445","01-APR-14","25002","EIAF","Grand"
"200000","Grand County Gore Canyon Whitewater Park","07492","11-JUN-14","25009","EIAF","Grand"
"25000","Grand Lake Streetscape & Way Finding Consultant","07553","25-JUN-14","25014","EIAF","Grand"
"200000","Granby Moraine Park Water System Replacement","07592","16-OCT-14","25008","EIAF","Grand"
"40000","Fraser Best & Brightest Intern 2015-2016","07660","17-NOV-14","25006","EIAF","Grand"
"200000","Grand County Dispatch Console & Recorder Replacement","07680","24-FEB-15","25009","EIAF","Grand"
"112032","Fraser WWTP Inflow & Infiltration Repair Phase II","07681","24-FEB-15","25006","EIAF","Grand"
"500000","Columbine Lake WD Kinnikinnick Rd Waterline Replacement","07756","26-MAR-15","25002","EIAF","Grand"
"252500","Kremmling Sanitation Dist. WWTP Pond Covers","07758","26-MAR-15","25017","EIAF","Grand"
"73520","Grand Lake West Portal Bridge Rehabilitation","07832","08-JUN-15","25014","EIAF","Grand"
"200000","Hot Sulphur Springs/Parshall FPD Wildland Interface Engine","07833","08-JUN-15","25016","EIAF","Grand"
"68820","Hot Sulphur Springs WW Plant Emergency Pipe Replacement","07992","01-JUN-15","25015","EIAF","Grand"
"2000000","Granby South Service Area Water Treatment Plant","08081","08-DEC-15","25008","EIAF","Grand"
"1050000","Kremmling Sanitation District WWTP Improvements","08082","08-DEC-15","25017","EIAF","Grand"
"31125","Fraser/Winter Park Broadband Study","08322","14-SEP-16","25006","EIAF","Grand"
"3000","Granby Main Street Scholarship FY 16-17","08255","07-SEP-16","25008","EIAF","Grand"
"492000","Granby Pedestrian/Bicycle Path","07856","05-AUG-15","25008","EIAF","Grand"
"100000","Hot Sulphur Springs Sewer Rehab & Culvert Construction","08162","04-AUG-16","25015","EIAF","Grand"
"500000","Grand Lake Infrastructure and Street Improvements","08416","04-MAY-17","25014","EIAF","Grand"
"200000","Fraser Valley MRD Ice Rink Refrigeration System","08526","20-OCT-17",NA,"EIAF","Grand"
"25000","Fraser Development Code Update","08566","08-AUG-17","25006","EIAF","Grand"
"60000","Jackson County 911 VoIP High Availability System","07638","16-OCT-14","29001","EIAF","Jackson"
"100000","Walden Infiltration & Inflow Study","07887","08-JUN-15","29006","EIAF","Jackson"
"1200","Walden Town Hall ADA Improvements Design","08467","23-JUN-17","29006","EIAF","Jackson"
"693750","Walden Wastewater System Upgrade & Repairs","08208","04-AUG-16","29006","EIAF","Jackson"
"200000","Walden Water Treatment Plant Solar Array","08613","28-FEB-18","29006","EIAF","Jackson"
"35000","Jackson County Community Center Improvements","08711","04-JUN-18","29001","EIAF","Jackson"
"12042","Pitkin County 2015-2018 (L15CSBG25)","15-PITK","01-MAR-15","49010","CSBG","Pitkin"
"12079",NA,"12-PITK","01-MAR-12","49010","CSBG","Pitkin"
"0","Aspen AABC Waterline Tie-in","07063","04-MAR-13","49006","EIAF","Pitkin"
"35000","Pitkin County Best & Brightest Intern","07352","27-NOV-13","49010","EIAF","Pitkin"
"165049","Roaring Fork Transportation Auth. CNG Fleet Vehicles","07678","24-FEB-15","64260","EIAF","Pitkin"
"105000","Roaring Fork Transportation Auth Maintenance Facility Design","07679","24-FEB-15","64260","EIAF","Pitkin"
"150000","Pitkin County Broadband & Microwave Design/Build Plan","07828","08-JUN-15","49010","EIAF","Pitkin"
"75000","Redstone W&S District East Creek Water Plant Expansion","08163","04-AUG-16",NA,"EIAF","Pitkin"
"46000","Pitkin County Best and Brightest Intern 2018-2019","08686","12-FEB-18","49010","EIAF","Pitkin"
"896800","Pitkin County Middle-Mile Broadband and Pub. Saf. Network","08318","05-DEC-16","49010","EIAF","Pitkin"
"15536","Routt County 2015-2018 (L15CSBG39)","15-ROUT","01-MAR-15","54012","CSBG","Routt"
"3247","CSBG39-Routt County 2018-2021 (L18CSBG39)","18-ROUT","30-SEP-17","54012","CSBG","Routt"
"800000","Dillon Amphitheater Improvements","08417","04-MAY-17","59009","EIAF","Summit"
"1000000","Silverthorne Cottonwood Public Works Facility","08418","04-MAY-17","59018","EIAF","Summit"
"24885","Montezuma Fifth Fire Hydrant Installation","08523","20-OCT-17","59028","EIAF","Summit"
"58500","Region XII – Rural Community Development Assistance","08579","29-NOV-17",NA,"EIAF","Summit"
"75000","Blue River Cistern Installation","08616","28-FEB-18","59002","EIAF","Summit"
"11000","NWCCOG Project THOR Planning","08688","23-FEB-18",NA,"EIAF","Summit"
"10000","Dillon Emergency Town Hall ADA Upgrades","08691","23-FEB-18","59009","EIAF","Summit"
"22950","Breckenridge Broadband Asset and Needs Assessment","08692","28-FEB-18","59004","EIAF","Summit"
"27635",NA,"12-SUMM","01-MAR-12",NA,"CSBG","Summit"
"3537",NA,"CSBG73D","10-JUN-16",NA,"CSBG","Summit"
"20000","NWCCOG Kitchen Incubator Study","00060","03-MAR-15",NA,"REDI","Summit"
"0","Breckenridge Harris Street Community Center","07134","17-APR-13","59004","EIAF","Summit"
"400000","Breckenridge Harris Street Library & Community Center","07237","14-AUG-13","59004","EIAF","Summit"
"71270","Blue River Town Manager","07394","18-FEB-14","59002","EIAF","Summit"
"93555","Blue Valley Metropolitan District CR 1012 Water Main Upgrade","07493","11-JUN-14","25001","EIAF","Summit"
"700000","Frisco Sanitation Dist. Effluent Outfall Line Relocation","07608","10-DEC-14","59014","EIAF","Summit"
"600000","Summit County District Attorney/Probation Office Facility","07627","10-DEC-14","59021","EIAF","Summit"
"55000","Region 12 Community Development '15","07650","06-NOV-14",NA,"EIAF","Summit"
"310000","NWCCOG Regional Broadband Coordinator","07827","05-AUG-15",NA,"EIAF","Summit"
"75000","Blue River Cistern Expansion","07831","08-JUN-15","59002","EIAF","Summit"
"25000","Summit County Broadband Development Consultant","08109","09-DEC-15","59021","EIAF","Summit"
"57346","NWCCOG Mini Grants and Community Development","08332","20-DEC-16",NA,"EIAF","Summit"
"140142","Northwest Region Regional Broadband Coordinator Funding","08384","27-APR-17",NA,"EIAF","Summit"
"125000","Blue River Town Hall Expansion","08385","27-APR-17","59002","EIAF","Summit"
"1000","Frisco Cyber Security Symposium Scholarship","08596","06-DEC-17","59015","EIAF","Summit"
"25000","Dillon Amphitheatre Planning & Design","09021","26-AUG-15","59009","EIAF","Summit"
"50000","Region 12 Community Development '16","09033","03-NOV-15",NA,"EIAF","Summit"
"60000","Summit County Lake Hill Affordable Workforce Housing Plan","09088","24-FEB-16","59021","EIAF","Summit"
"75000","Blue River Fire Mitigation Cisterns","09089","24-FEB-16","59002","EIAF","Summit"
"42969","Delta County 2015-2018 (L15CSBG12)","15-DELT","01-MAR-15",NA,"CSBG","Delta"
"6827","CSBG12-Delta County 2018-2021 (L18CSBG12)","18-DELT","30-SEP-17",NA,"CSBG","Delta"
"50000","Delta - TK Mining","00002","01-APR-14","15015","REDI","Delta"
"60050","Delta - Amarna Infrastructure","00022","29-APR-14","15015","REDI","Delta"
"406950","OEDIT Delta County Projects FY16","00035","01-JUL-13","15006","REDI","Delta"
"10000","Delta County Rogers Mesa Feasibility Study","00058","14-JAN-15","15006","REDI","Delta"
"100000","Delta Gateway Riverfront Planning and Engineering Project","00086","24-MAR-16","15015","REDI","Delta"
"12000","Crawford Architectural Design Services","07001","16-AUG-12","15005","EIAF","Delta"
"20000","Cedaredge WWTF Engineering Services","07007","28-AUG-12","15003","EIAF","Delta"
"0","Delta Wastewater Treatment Plant Upgrade","07077","04-MAR-13","15015","EIAF","Delta"
"0","Delta County 911 Phone System Replacement","07078","04-MAR-13","15006","EIAF","Delta"
"250000","Cedaredge West Main Street Improvements","07148","17-APR-13","15003","EIAF","Delta"
"1000000","Delta Confluence Drive - Truck Route","07149","17-APR-13","15015","EIAF","Delta"
"8737","Delta ICMA Participation & Citizen Survey","07266","14-MAY-13","15015","EIAF","Delta"
"199422","Paonia Town Manager","07295","15-OCT-13","15025","EIAF","Delta"
"30000","Hotchkiss Pedestrian Pathway Phase 2/3","07296","15-OCT-13","15020","EIAF","Delta"
"200000","Cedaredge Domestic Wastewater Treatment Facility","07381","18-FEB-14","15003","EIAF","Delta"
"400000","Crawford Town Hall Preservation","07414","08-APR-14","15005","EIAF","Delta"
"150000","Delta County 911 Phone System Replacement","07478","11-JUN-14","15006","EIAF","Delta"
"135103","Delta County S.D. Community Kidz Clinic","07480","11-JUN-14","64916","EIAF","Delta"
"100000","Delta/Gunnison Economic Realignment Action Plan","07481","11-JUN-14","15015","EIAF","Delta"
"48247","Bone Mesa Water District Mays Filtration Plant","07482","11-JUN-14","15001","EIAF","Delta"
"41182","Hotchkiss Sewer System Rehabilitation Study","07483","11-JUN-14","15020","EIAF","Delta"
"1000000","Delta Storm Water Improvements Phases II & III","07546","13-AUG-14","15015","EIAF","Delta"
"200000","Paonia Clock Water Storage Roof Replacement","07581","11-AUG-14","15025","EIAF","Delta"
"227500","Delta City Hall Renovation","07617","10-DEC-14","15015","EIAF","Delta"
"40000","Delta Best & Brightest Intern 2015-2016","07656","17-NOV-14","15015","EIAF","Delta"
"1991000","Cedaredge Wastewater Treatment Facility","07742","26-MAR-15","15003","EIAF","Delta"
"200000","Delta Upper Water Zone Booster Station","07822","08-JUN-15","15015","EIAF","Delta"
"149","Delta Managing Like A Futurist Workshop Scholarship","07877","13-APR-15","15015","EIAF","Delta"
"20000","Cedaredge Water System Leak Detection & Prelim. Engineering","07891","05-MAY-15","15003","EIAF","Delta"
"40000","Cedaredge Best & Brightest Intern 2016-2017","09052","24-NOV-15","15003","EIAF","Delta"
"380000","Cedaredge Jay Avenue Bridge Replacement","09121","04-APR-16","15003","EIAF","Delta"
"250000","Delta Storm Water Infrastructure","12-503","14-AUG-12","15015","CDBGPF","Delta"
"43099",NA,"12-DELT","01-MAR-12",NA,"CSBG","Delta"
"1000000","Paonia Lamborn Water Treatment Plant Upgrade","07231","14-AUG-13","15025","EIAF","Delta"
"1100322","Hotchkiss Sewer System Rehabilitation - Construction Phase","07743","26-MAR-15","15020","EIAF","Delta"
"300000","Delta County Radio Console Update","08202","04-AUG-16","15006","EIAF","Delta"
"25000","Delta Urban Renewal Authority Assessment","08243","09-AUG-16","15015","EIAF","Delta"
"25000","Delta County Master Plan Update - RESET","08248","18-AUG-16","15006","EIAF","Delta"
"20000","Cederedge WW Rate Study","08339","21-NOV-16","15003","EIAF","Delta"
"55000","Delta Innovation Center Architecture/Design","08362","27-APR-17","64916","EIAF","Delta"
"25000","Delta City Hall Renovation Plans","08430","08-FEB-17","15015","EIAF","Delta"
"300000","Cedaredge Highway 65 Waterline Replacement","08545","05-DEC-17","15003","EIAF","Delta"
"17500","Town of Paonia Space to Create Artspace Market Study","08753","17-APR-18","15025","EIAF","Delta"
"600000","Delta - Midwestern Colorado Mental Health Center","16-527","09-MAY-16","15015","CDBGPF","Delta"
"56850","Delta Riverfront Predev Plan and ENGAGE Innov Ctr Ops Plan","00110","27-JUL-17","15015","REDI","Delta"
"25000","Paonia Space to Create First Phase Feasibility Study","00126","10-JAN-18","15025","REDI","Delta"
"71375","Delta County Master Plan/Land Use Code Update Phases 3 & 4","08293","05-DEC-16","15006","EIAF","Delta"
"25000","City of Delta Asset Management Program","08361","27-APR-17","15015","EIAF","Delta"
"550000","Hotchkiss Barrow Mesa Tank Replacement","08537","05-DEC-17","15020","EIAF","Delta"
"58334","Delta County Tri-County Federal Lands Coordination","08619","28-FEB-18","15006","EIAF","Delta"
"426677","North Fork Pool, Park & Rec District Park Ballfield Complex","08743","31-JUL-18","15029","EIAF","Delta"
"100000","Grand Mesa Metro. Dist. WW Treatment Plant Improvements","08200","04-AUG-16","39048","EIAF","Delta, Garfield, Mesa"
"42102","Garfield County 2015-2018 (L15CSBG17)","15-GARF","01-MAR-15",NA,"CSBG","Garfield"
"1750","Rifle Main Street 2016 Conference Scholarship","08127","28-JAN-16","23017","EIAF","Garfield"
"2500","Rifle Main Street Mini-Grant FY 16-17","08225","23-MAY-16","23017","EIAF","Garfield"
"3000","Rifle Main Street Scholarship FY 17-18","08480","28-JUL-17","23017","EIAF","Garfield"
"3000","Rifle Main Street Scholarship FY 16-17","08263","07-SEP-16","23017","EIAF","Garfield"
"34000","Roaring Fork Trans. Authority Carbondale CNG Vehicle","08068","24-AUG-15","64260","EIAF","Garfield"
"1000422","Roaring Fork Transport. Auth. CNG Coach Bus Engines","09130","04-APR-16","64260","EIAF","Garfield"
"140500","Rifle Water Treatment Facility Siting and Cost Study","00051","28-OCT-14","23017","REDI","Garfield"
"150000","Silt Weible Peak Plaza Infrastructure","00072","17-JUN-15","23019","REDI","Garfield"
"25000","New Castle Pedestrian Bridge Planning","07040","27-NOV-12","23012","EIAF","Garfield"
"60000","Battlement Mesa Metro Dist. Sewer Vault & Manhole Replace.","07074","28-FEB-13","23032","EIAF","Garfield"
"150000","Rifle New Ute Event Center Renovation","07075","28-FEB-13","23017","EIAF","Garfield"
"300000","Garfield County CR 300 Realignment @ Una Bridge","07138","17-APR-13","23005","EIAF","Garfield"
"47880","Rifle South Water Line","07139","17-APR-13","23017","EIAF","Garfield"
"0","New Castle Pedestrian Bridges and Walks","07140","17-APR-13","23012","EIAF","Garfield"
"25000","Silt Well Field Engineering & Permitting","07169","31-JAN-13","23019","EIAF","Garfield"
"5800","Rifle Main Street Mini-Grant 2013","07257","06-MAY-13","23017","EIAF","Garfield"
"25000","Rifle Downtown TOD and Planning","07276","19-JUN-13","23017","EIAF","Garfield"
"500000","New Castle Pedestrian Safety Enhancements","07321","04-DEC-13","23012","EIAF","Garfield"
"735212","Rifle Regional Water Purification Facility Generator","07322","04-DEC-13","23017","EIAF","Garfield"
"75000","Parachute Infrastructure Master Plan","07384","18-FEB-14","23013","EIAF","Garfield"
"686110","Rifle South Water Line Construction","07415","08-APR-14","23017","EIAF","Garfield"
"62500","Parachute 2014 Comprehensive Plan","07488","11-JUN-14","23013","EIAF","Garfield"
"5000","Rifle Main Street Mini Grant 2014","07532","23-APR-14","23017","EIAF","Garfield"
"100000","Grand Valley FPD Remote Area Water Tender","07587","16-OCT-14","23010","EIAF","Garfield"
"2000000","Rifle Regional Water Treatment Facility","07618","10-DEC-14","23017","EIAF","Garfield"
"332700","Garfield County ECA Radio Console Upgrade","07622","10-DEC-14","23035","EIAF","Garfield"
"100000","Region 11 Community Development '15","07646","06-NOV-14",NA,"EIAF","Garfield"
"300000","Garfield County Contaminated Soil Treatment Facility","07750","26-MAR-15","23005","EIAF","Garfield"
"350000","Parachute Park Boulevard Reconstruction","07751","26-MAR-15","23013","EIAF","Garfield"
"1061100","Rifle Municipal Water Storage Tank","07752","26-MAR-15","23017","EIAF","Garfield"
"25000","Silt Feasibility Study & I-70  Interchange Schematic Design","07761","11-DEC-14","23019","EIAF","Garfield"
"5250","Rifle Main Street Strategic Consulting","07779","11-FEB-15","23017","EIAF","Garfield"
"100000","Carbondale Industry Way Water Line Extension","07823","08-JUN-15","23004","EIAF","Garfield"
"65000","Rifle 12th & Howard New Sidewalk","07824","08-JUN-15","23017","EIAF","Garfield"
"814554","New Castle Water Treatment Plant Upgrade","07861","05-AUG-15","23012","EIAF","Garfield"
"5000","Rifle Main Street Mini Grant - FY 2016","07995","08-JUN-15","23017","EIAF","Garfield"
"150000","Garfield County & Mesa County Regional Broadband Plan","08020","24-JUL-15","23005","EIAF","Garfield"
"25000","Parachute Pedestrian Connections Survey & Engineering","08027","27-JUL-15","23013","EIAF","Garfield"
"35000","Parachute Land Use Code Update","08065","24-SEP-15","23013","EIAF","Garfield"
