"award","projname","projectnmbr","dateofaward","lgid","program","county"
"30000","Jamestown Fiscal Health Assistance - Flood Recovery","08031","10-AUG-15","07018","EIAF","Boulder"
"120000","Lyons Human Resource Staffing Assistance - Flood Recovery","08115","19-JAN-16","07032","EIAF","Boulder"
"200000","Mountain View FPD Hazardous Materials Pumper","09059","24-FEB-16","64087","EIAF","Boulder"
"0","Boulder Co. CASA Operations Costs","12-794","15-OCT-12","07003","GAME","Boulder"
"0","Boulder Co. Nederland Teen Ctr.","12-796","15-OCT-12","07003","GAME","Boulder"
"0","Boulder Co. Nederland Teen Ctr.","13-800","28-OCT-13","07003","GAME","Boulder"
"0","Nederland FPD Rescue Equipment","13-801","31-OCT-13","07059","GAME","Boulder"
"0","Boulder County Nederland Teen Center","14-872","22-OCT-14","07003","GAME","Boulder"
"0","Boulder County Nederland Teen Center","15-917","08-OCT-15","07003","GAME","Boulder"
"3000","Lyons Main Street Scholarship FY 16-17","08259","07-SEP-16","07032","EIAF","Boulder"
"5000","Lyons Main Street Mini Grant 2014","07661","01-DEC-14","07032","EIAF","Boulder"
"5000","Lyons Main Street Mini Grant - FY 2016","08016","07-JUL-15","07032","EIAF","Boulder"
"3300","Lyons Main Street 2016 Conference Scholarship","08125","28-JAN-16","07032","EIAF","Boulder"
"2500","Lyons Main Street Mini-Grant FY 16-17","08223","23-MAY-16","07032","EIAF","Boulder"
"2300","Lyons Main Street Mini Grant FY 17-18","08460","21-JUL-17","07032","EIAF","Boulder"
"3000","Lyons Main Street Scholarship FY 17-18","08488","28-JUL-17","07032","EIAF","Boulder"
"1740373","Lyons Staffing Assistance - Flood Recovery","07640","25-SEP-14","07032","EIAF","Boulder"
"500000","Lyons Regional Library Dist. Community Library Center","08543","05-DEC-17","66502","EIAF","Boulder"
"825000","Louisville Rec/Senior Center Expansion","08550","05-DEC-17","07029","EIAF","Boulder"
"0","Boulder County Nederland Teen Center","16-942","20-OCT-16","07003","GAME","Boulder"
"77750","Boulder County Nederland Teen Center","17-981","14-NOV-17","07003","GAME","Boulder"
"1000000","Longmont Renewable CNG Project","08547","05-DEC-17","64205","EIAF","Boulder"
"950000","Town of Nederland Biosolids Handling Project","08735","31-JUL-18","07033","EIAF","Boulder"
"20917",NA,"12-BROO","01-MAR-12",NA,"CSBG","Broomfield"
"6579","Clear Creek County 2015-2018 (L15CSBG09)","15-CLEA","01-MAR-15",NA,"CSBG","Clear Creek"
"65000","Clear Creak -Idaho Springs Feasibilty Study","00083","07-JAN-16","10008","REDI","Clear Creek"
"20000","Central City Public Works Facility Plan & Design","07025","23-OCT-12","64263","EIAF","Clear Creek"
"2000","Georgetown Community Assessment","07345","24-SEP-13","10007","EIAF","Clear Creek"
"6599",NA,"12-CLEA","01-MAR-12",NA,"CSBG","Clear Creek"
"93282","Empire Wastewater Treatment Plant Improvements","00052","12-NOV-14","10005","REDI","Clear Creek"
"41000","Silver Plume WW Collection System Study Phase II","07045","28-FEB-13","10009","EIAF","Clear Creek"
"127500","Idaho Springs Water System Enhancement","07046","28-FEB-13","10008","EIAF","Clear Creek"
"125000","Lookout Mountain WD Engineering/Design for Dam & Spillway","07047","28-FEB-13","64261","EIAF","Clear Creek"
